Ministries/Departments,Heads of Expenditure,Detailed Heads of Expenditure,Actual 2019-2020,Budget 2020-2021,Revised 2020-2021,Budget 2021-2022
Andaman and Nicobar Islands,Secretariat,Secretariat - Net,66.33,65.74,63.30,64.88
Andaman and Nicobar Islands,Other Establishment,Other Establishment,2254.46,2345.46,2202.15,2287.01
Andaman and Nicobar Islands,Schemes of UT,Welfare of Tribal and Other Backward Classes,0.72,0.76,0.58,0.62
Andaman and Nicobar Islands,Schemes of UT,Disaster Management,2.48,19.63,9.90,21.19
Andaman and Nicobar Islands,Schemes of UT,Agriculture and Allied Activities,18.15,23.53,21.46,32.78
Andaman and Nicobar Islands,Schemes of UT,Water Supply and Sanitation,72.06,62.51,62.83,108.47
Andaman and Nicobar Islands,Schemes of UT,Rural Development,80.38,83.90,66.55,79.37
Andaman and Nicobar Islands,Schemes of UT,Power,629.21,546.90,604.28,541.03
Andaman and Nicobar Islands,Schemes of UT,Forestry and Wildlife,29.69,30.63,28.45,29.55
Andaman and Nicobar Islands,Schemes of UT,Civil Supplies,24.33,20.17,19.42,22.66
Andaman and Nicobar Islands,Schemes of UT,Medical and Public Health,103.26,111.81,125.38,125.20
Andaman and Nicobar Islands,Schemes of UT,"Education, Sports, Arts and Culture",77.54,70.02,63.15,73.48
Andaman and Nicobar Islands,Schemes of UT,Social Welfare,85.95,92.03,84.61,91.81
Andaman and Nicobar Islands,Schemes of UT,Village and Small Industries,4.64,7.77,5.30,5.58
Andaman and Nicobar Islands,Schemes of UT,Information and Publicity,3.54,2.38,2.75,2.63
Andaman and Nicobar Islands,Schemes of UT,Labour and Employment,5.50,2.30,3.10,4.28
Andaman and Nicobar Islands,Schemes of UT,Road Transport,34.69,28.55,30.60,31.31
Andaman and Nicobar Islands,Schemes of UT,Roads and Bridges,176.99,187.20,128.71,175.50
Andaman and Nicobar Islands,Schemes of UT,Port and Light Houses,110.57,106.69,80.24,117.47
Andaman and Nicobar Islands,Schemes of UT,Shipping,566.23,580.30,478.25,627.60
Andaman and Nicobar Islands,Schemes of UT,Civil Aviation,87.15,75.01,83.13,86.10
Andaman and Nicobar Islands,Schemes of UT,Tourism,11.80,11.09,9.38,9.89
Andaman and Nicobar Islands,Schemes of UT,Public Works,64.03,58.36,57.95,60.16
Andaman and Nicobar Islands,Schemes of UT,Housing,31.52,26.60,26.60,28.65
Andaman and Nicobar Islands,Schemes of UT,Urban Development,166.47,245.77,262.02,274.29
Andaman and Nicobar Islands,Schemes of UT,Police and Fire Control,15.79,14.40,13.85,23.91
Andaman and Nicobar Islands,Schemes of UT,Hiring of Transponder,120.00,128.00,149.00,200.00
Andaman and Nicobar Islands,Schemes of UT,Other Social Security and Welfare Activities,0.29,0.87,0.85,0.92
Andaman and Nicobar Islands,UT's Supplement to Centrally Sponsored Schemes,UT's Supplement to Centrally Sponsored Schemes,29.60,19.82,21.58,22.33
Andaman and Nicobar Islands,Tribal Area Component,Tribal Area Component,127.45,260.09,170.73,231.90
Andaman and Nicobar Islands,Grantee / Other Bodies,SOVTECH,6.00,5.00,8.00,6.00
Andaman and Nicobar Islands,Grantee / Other Bodies,Other Grantee Bodies,0.45,0.91,0.80,0.76
Andaman and Nicobar Islands,Other Expenditure of UT,Other Expenditure of UT,...,0.03,...,0.03
Atomic Energy,Secretariat,Secretariat,60.10,66.00,65.52,69.25
Atomic Energy,Atomic Energy Regulatory Board,Atomic Energy Regulatory Board,73.60,84.77,75.79,89.74
Atomic Energy,Atomic Research Centres,Bhabha Atomic Research Centre-Gross,2544.67,2836.00,2376.09,2935.97
Atomic Energy,Atomic Research Centres,Bhabha Atomic Research Centre-Net,2499.15,2805.50,2345.59,2905.47
Atomic Energy,Atomic Research Centres,"Indira Gandhi Centre for Atomic Research, Kalpakkam",460.61,523.24,424.48,493.46
Atomic Energy,Atomic Research Centres,"Raja Ramana Centre for Advanced Technology, Indore",347.60,349.51,329.16,384.01
Atomic Energy,Atomic Research Centres,"Variable Energy Cyclotrone Centre, Kolkata",126.95,137.26,131.36,139.10
Atomic Energy,Atomic Research Centres,"Atomic Minerals Directorate for Exploration and Research, Hyderabad",314.04,341.80,294.89,329.19
